ubigeo,place,address,department,province,district,copy_code,observation,description,candidates,total_citizens,partido_politico_nacional_peru_libre_total_valids,partido_politico_nacional_peru_libre_total_emiteds,partido_politico_nacional_peru_libre_code,partido_politico_nacional_peru_libre_congresal,partido_politico_nacional_peru_libre_list_code,fuerza_popular_total_valids,fuerza_popular_total_emiteds,fuerza_popular_code,fuerza_popular_congresal,fuerza_popular_list_code,total_votos_validos_total_valids,total_votos_validos_total_emiteds,total_votos_validos_code,total_votos_validos_congresal,votos_en_blanco_total_valids,votos_en_blanco_total_emiteds,votos_en_blanco_code,votos_en_blanco_congresal,votos_nulos_total_valids,votos_nulos_total_emiteds,votos_nulos_code,votos_nulos_congresal,votos_impugnados_total_valids,votos_impugnados_total_emiteds,votos_impugnados_code,votos_impugnados_congresal,total_votos_emitidos_total_valids,total_votos_emitidos_total_emiteds,total_votos_emitidos_code,total_votos_emitidos_congresal
920202,ESCUELA PRIMARIA N° 05,RODRÍGUEZ PEÑA 747,AMERICA,ARGENTINA,BUENOS AIRES,93A,CONTABILIZADAS NORMALES,ACTA ELECTORAL NORMAL,0,95,40.909,37.895,00000014,36,1,59.091,54.737,00000007,52,2,100.000,92.632,None,88,None,1.053,80,1,None,6.316,80,6,None,0.000,80,0,92.632,100.000,None,95
920202,ESCUELA PRIMARIA N° 05,RODRÍGUEZ PEÑA 747,AMERICA,ARGENTINA,BUENOS AIRES,91O,CONTABILIZADAS NORMALES,ACTA ELECTORAL NORMAL,0,108,44.330,39.815,00000014,43,1,55.670,50.000,00000007,54,2,100.000,89.815,None,97,None,2.778,80,3,None,7.407,80,8,None,0.000,80,0,89.815,100.000,None,108
920202,ESCUELA PRIMARIA N° 05,RODRÍGUEZ PEÑA 747,AMERICA,ARGENTINA,BUENOS AIRES,91L,CONTABILIZADAS NORMALES,ACTA ELECTORAL NORMAL,0,100,42.105,40.000,00000014,40,1,57.895,55.000,00000007,55,2,100.000,95.000,None,95,None,1.000,80,1,None,4.000,80,4,None,0.000,80,0,95.000,100.000,None,100
920202,ESCUELA PRIMARIA N° 05,RODRÍGUEZ PEÑA 747,AMERICA,ARGENTINA,BUENOS AIRES,95U,CONTABILIZADAS NORMALES,ACTA ELECTORAL NORMAL,0,83,42.857,39.759,00000014,33,1,57.143,53.012,00000007,44,2,100.000,92.771,None,77,None,1.205,80,1,None,6.024,80,5,None,0.000,80,0,92.771,100.000,None,83
920202,ESCUELA PRIMARIA N° 05,RODRÍGUEZ PEÑA 747,AMERICA,ARGENTINA,BUENOS AIRES,93L,CONTABILIZADAS NORMALES,ACTA ELECTORAL NORMAL,0,108,31.313,28.704,00000014,31,1,68.687,62.963,00000007,68,2,100.000,91.667,None,99,None,0.926,80,1,None,7.407,80,8,None,0.000,80,0,91.667,100.000,None,108
920202,ESCUELA PRIMARIA N° 05,RODRÍGUEZ PEÑA 747,AMERICA,ARGENTINA,BUENOS AIRES,93V,CONTABILIZADAS NORMALES,ACTA ELECTORAL NORMAL,0,93,34.884,32.258,00000014,30,1,65.116,60.215,00000007,56,2,100.000,92.473,None,86,None,1.075,80,1,None,6.452,80,6,None,0.000,80,0,92.473,100.000,None,93
920202,ESCUELA PRIMARIA N° 05,RODRÍGUEZ PEÑA 747,AMERICA,ARGENTINA,BUENOS AIRES,96O,CONTABILIZADAS NORMALES,ACTA ELECTORAL NORMAL,0,89,51.250,46.067,00000014,41,1,48.750,43.820,00000007,39,2,100.000,89.888,None,80,None,0.000,80,0,None,10.112,80,9,None,0.000,80,0,89.888,100.000,None,89
920202,ESCUELA PRIMARIA N° 05,RODRÍGUEZ PEÑA 747,AMERICA,ARGENTINA,BUENOS AIRES,96L,CONTABILIZADAS NORMALES,ACTA ELECTORAL NORMAL,0,94,40.230,37.234,00000014,35,1,59.770,55.319,00000007,52,2,100.000,92.553,None,87,None,2.128,80,2,None,5.319,80,5,None,0.000,80,0,92.553,100.000,None,94
920202,ESCUELA PRIMARIA N° 05,RODRÍGUEZ PEÑA 747,AMERICA,ARGENTINA,BUENOS AIRES,91B,CONTABILIZADAS NORMALES,ACTA ELECTORAL NORMAL,0,103,40.000,36.893,00000014,38,1,60.000,55.340,00000007,57,2,100.000,92.233,None,95,None,0.000,80,0,None,7.767,80,8,None,0.000,80,0,92.233,100.000,None,103
920202,ESCUELA PRIMARIA N° 05,RODRÍGUEZ PEÑA 747,AMERICA,ARGENTINA,BUENOS AIRES,94K,CONTABILIZADAS NORMALES,ACTA ELECTORAL NORMAL,0,88,38.272,35.227,00000014,31,1,61.728,56.818,00000007,50,2,100.000,92.045,None,81,None,0.000,80,0,None,7.955,80,7,None,0.000,80,0,92.045,100.000,None,88
